date,inflow,std
20110101,27.78192,0
20110102,24.04368,0
20110103,22.14624,0
20110104,19.6824,0
20110105,18.71952,0
20110106,15.97248,0
20110107,16.02912,0
20110108,16.02912,0
20110109,17.36016,0
20110110,17.33184,0
20110111,19.37088,0
20110112,13.28208,0
20110113,13.28208,0
20110114,10.3368,0
20110115,7.53312,0
20110116,7.53312,0
20110117,7.61808,0
20110118,4.8144,0
20110119,5.91888,0
20110120,4.72944,0
20110121,4.72944,0
20110122,5.29584,0
20110123,4.72944,0
20110124,4.78608,0
20110125,4.84272,0
20110126,4.84272,0
20110127,4.84272,0
20110128,4.84272,0
20110129,4.84272,0
20110130,4.84272,0
20110131,4.78608,0
20110201,4.78608,0
20110202,4.75776,0
20110203,4.84272,0
20110204,4.89936,0
20110205,4.89936,0
20110206,4.956,0
20110207,4.956,0
20110208,5.04096,0
20110209,5.01264,0
20110210,5.0976,0
20110211,6.14544,0
20110212,4.30464,0
20110213,4.36128,0
20110214,4.41792,0
20110215,4.3896,0
20110216,4.44624,0
20110217,3.79488,0
20110218,3.45504,0
20110219,4.75776,0
20110220,4.07808,0
20110221,3.90816,0
20110222,5.0976,0
20110223,5.26752,0
20110224,4.3896,0
20110225,3.54,0
20110226,4.30464,0
20110227,4.27632,0
20110228,4.248,0
20110301,4.27632,0
20110302,4.72944,0
20110303,3.42672,0
20110304,3.3984,0
20110305,3.3984,0
20110306,3.3984,0
20110307,3.54,0
20110308,1.81248,0
20110309,1.78416,0
20110310,1.75584,0
20110311,2.15232,0
20110312,1.6992,0
20110313,2.71872,0
20110314,1.44432,0
20110315,1.07616,0
20110316,2.23728,0
20110317,2.60544,0
20110318,0.96288,0
20110319,2.35056,0
20110320,2.35056,0
20110321,3.03024,0
20110322,1.21776,0
20110323,1.30272,0
20110324,2.124,0
20110325,0.708,0
20110326,1.78416,0
20110327,1.44432,0
20110328,1.38768,0
20110329,1.38768,0
20110330,1.35936,0
20110331,1.30272,0
20110401,1.30272,0
20110402,1.21776,0
20110403,1.18944,0
20110404,1.01952,0
20110405,1.01952,0
20110406,0.5664,0
20110407,0.50976,0
20110408,0.48144,0
20110409,0.4248,0
20110410,0.39648,0
20110411,0.36816,0
20110412,0.31152,0
20110413,0.31152,0
20110414,0.9912,0
20110415,0.9912,0
20110416,2.09568,0
20110417,2.80368,0
20110418,2.77536,0
20110419,1.38768,0
20110420,0.90624,0
20110421,0.87792,0
20110422,0.708,0
20110423,0.76464,0
20110424,0.708,0
20110425,0.65136,0
20110426,0.62304,0
20110427,0.62304,0
20110428,0.59472,0
20110429,1.07616,0
20110430,1.10448,0
20110501,1.07616,0
20110502,1.07616,0
20110503,1.04784,0
20110504,0.87792,0
20110505,2.06736,0
20110506,2.18064,0
20110507,2.32224,0
20110508,2.32224,0
20110509,2.20896,0
20110510,2.124,0
20110511,1.18944,0
20110512,1.8408,0
20110513,2.03904,0
20110514,2.2656,0
20110515,3.45504,0
20110516,3.42672,0
20110517,3.34176,0
20110518,6.40032,0
20110519,9.6288,0
20110520,11.6112,0
20110521,13.5936,0
20110522,15.60432,0
20110523,17.58672,0
20110524,17.89824,0
20110525,18.80448,0
20110526,19.73904,0
20110527,20.6736,0
20110528,21.72144,0
20110529,22.3728,0
20110530,24.32688,0
20110531,35.51328,0
20110601,46.21824,0
20110602,58.764,0
20110603,59.8968,0
20110604,55.3656,0
20110605,47.97408,0
20110606,58.3392,0
20110607,90.45408,0
20110608,80.712,0
20110609,87.59376,0
20110610,120.33168,0
20110611,123.41856,0
20110612,162.89664,0
20110613,274.76064,0
20110614,203.50752,0
20110615,149.78448,0
20110616,160.80096,0
20110617,140.55216,0
20110618,152.84304,0
20110619,136.55904,0
20110620,84.56352,0
20110621,75.21792,0
20110622,42.1968,0
20110623,37.04256,0
20110624,69.1008,0
20110625,69.07248,0
20110626,58.50912,0
20110627,111.97728,0
20110628,209.05824,0
20110629,149.92608,0
20110630,105.09552,0
20110701,73.7736,0
20110702,86.74416,0
20110703,105.18048,0
20110704,66.60864,0
20110705,86.91408,0
20110706,91.41696,0
20110707,79.49424,0
20110708,86.91408,0
20110709,55.45056,0
20110710,20.41872,0
20110711,79.52256,0
20110712,81.39168,0
20110713,42.56496,0
20110714,50.09808,0
20110715,100.90416,0
20110716,161.90544,0
20110717,260.94048,0
20110718,526.69536,0
20110719,493.50432,0
20110720,560.67936,0
20110721,560.67936,0
20110722,351.7344,0
20110723,269.49312,0
20110724,347.0616,0
20110725,361.02336,0
20110726,196.93728,0
20110727,230.86464,0
20110728,83.8272,0
20110729,91.81344,0
20110730,65.16432,0
20110731,187.42176,0
20110801,107.58768,0
20110802,144.88512,0
20110803,157.82736,0
20110804,344.48448,0
20110805,355.416,0
20110806,275.07216,0
20110807,818.13648,0
20110808,327.29424,0
20110809,235.56576,0
20110810,213.816,0
20110811,197.70192,0
20110812,224.09616,0
20110813,320.12928,0
20110814,191.89632,0
20110815,171.73248,0
20110816,148.9632,0
20110817,109.5984,0
20110818,100.87584,0
20110819,95.41008,0
20110820,106.53984,0
20110821,136.9272,0
20110822,188.55456,0
20110823,101.78208,0
20110824,94.13568,0
20110825,83.9688,0
20110826,88.04688,0
20110827,91.07712,0
20110828,149.89776,0
20110829,164.45424,0
20110830,235.14096,0
